,Ls,TOA,Eff,Direct,Diffuse
0,0.0,520.3203605632331,462.3010438424935,270.5980842486092,222.91041813242362
1,5.0,512.7258529166944,460.19368924861317,280.1488606001215,209.3544519168508
2,10.0,504.7927725685763,457.4430966844843,289.5618579639929,195.21074269824584
3,15.0,496.62428337350417,454.17341879088417,298.9167029145039,180.5310649725352
4,20.0,488.3320072454435,448.52351767338473,301.3397424065735,171.14392472885027
5,25.0,480.0337710930661,442.70337633019517,303.5855886688171,161.7648693736955
6,30.0,471.8515466098155,433.7693328422665,266.6417189122623,194.33443480233046
7,35.0,463.90957949212043,426.4652640019946,256.14135768162123,198.0510538608993
8,40.0,456.33267638958665,419.47230608695514,246.85849432267898,200.71373460962346
9,45.0,449.2445943072137,412.9367586927996,238.80043112044203,202.48410182832274
10,50.0,442.76646058907943,405.88786866147746,228.96977615967333,205.71871221140012
11,55.0,437.01514469934307,399.583587064423,220.5535158045764,208.17450146493795
12,60.0,432.10150845597593,394.16147503546773,213.54658584334274,210.01731301409885
13,65.0,428.12848110582934,390.2689837638406,209.24159635463263,210.4969621037302
14,70.0,425.18893983675036,387.50820625631945,206.3354521002582,210.66599320472235
15,75.0,423.36342234326014,385.98353717912045,204.87093882462406,210.5960445982516
16,80.0,422.7177497297224,385.69466610984824,204.6835736073406,210.47801453779957
17,85.0,423.300686007839,386.7951937556403,206.03899494997336,210.18162651821734
18,90.0,425.14179394958376,389.3291187844642,208.9944385827112,209.69148860668952
19,95.0,428.2496568849028,391.1701035942467,208.30226126584827,212.637025963254
20,100.0,432.6106178746706,394.42112622362544,209.1820214069277,215.3943079263927
21,105.0,438.1881443221074,399.0410873829712,211.60374028184668,217.95040360595874
22,110.0,444.92286715724157,407.73630961754145,222.42279673319652,215.4808289352848
23,115.0,452.73328287599577,417.69148549669194,235.2196328401195,212.17657285647962
24,120.0,461.5170571327652,428.7868193844596,250.10553215059304,207.76893864403087
25,125.0,471.1528389620243,437.70916766709473,258.18776209728844,208.7458204300073
26,130.0,481.50248718398996,447.4119697322398,267.75613368033856,208.90213494407124
27,135.0,492.4136212406072,457.7174944532232,278.7814995807427,208.06511031683777
28,140.0,503.7224300491761,465.25955650776257,281.8444356740675,213.27339631825015
29,145.0,515.2566961218507,472.96945850261216,285.8955566664686,217.52779283272508
30,150.0,526.8390113710282,483.69488345446763,325.1375016239659,184.3690486401183
31,155.0,538.2901715530961,491.7252395837912,323.04340392061255,196.14166937578915
32,160.0,549.4327367659624,499.2710057800749,320.56850808930363,207.7936019660131
33,165.0,560.0947364912083,506.1402910018054,317.58946995093356,219.2451407568277
34,170.0,570.1134813222105,513.3871776236361,317.63470867376776,227.61914994170746
35,175.0,579.3394222420403,519.662742128634,316.9194358086745,235.74803060460408
36,180.0,587.6399746185432,524.816949024798,315.3708257549163,243.54200380218793
37,185.0,594.9032002077527,529.1148188173315,312.7391305328309,251.599637540117
38,190.0,601.041218279252,532.1379651063212,309.2033308333774,259.2263189220277
39,195.0,605.9931980606401,533.8354131095834,304.7667645982454,266.3588936178349
40,200.0,609.7277704194008,533.1126205807203,296.66235274815074,274.9421718983367
41,205.0,612.2446884365944,531.0514952167047,287.85234586083027,282.7897085533423
42,210.0,613.5755658728882,528.6853247705703,285.7245989661038,282.51247186565865
43,215.0,613.7835315126779,512.2540878233298,248.35809600093197,306.8558044446486
44,220.0,612.9616586150569,494.8578108422093,215.02332531423895,325.38893666043066
45,225.0,611.2300654013842,476.839083747724,185.4641732719687,338.8080354369248
46,230.0,608.73163813041,470.6368000631958,178.3042625510192,339.92155524671693
47,235.0,605.6264057710829,464.0469112101621,171.19816680001136,340.5217958257566
48,240.0,602.0846955387226,457.28080477291957,164.2698232095185,340.71044367837334
49,245.0,598.2793186436292,458.4322828804936,169.99620707571518,335.39078581950974
50,250.0,594.3771665067821,459.7641014439708,176.26659767903334,329.64826019178776
51,255.0,590.5307229965189,461.43689992849295,183.2049920016067,323.5254743335887
52,260.0,586.8700946449248,461.3963134657147,186.9421343993475,319.13276635624095
53,265.0,583.4962017803218,461.92522885802936,191.26208205068752,314.7245893108626
54,270.0,580.4757361230885,463.17354212781754,196.21993910020186,310.4111663111811
55,275.0,577.8383638317443,466.17496502848496,205.6688539405834,302.91408266035063
56,280.0,575.5764455937148,468.7565197143646,210.10369864684102,300.75909426456224
57,285.0,573.647286341214,473.0332791799309,221.2188784684327,292.80744268778864
58,290.0,571.9776609389025,476.80447725137856,231.0624208027422,285.7465772658562
59,295.0,570.4701364751694,480.9152459575612,241.57950378946774,278.29737461406216
60,300.0,569.0105641336005,485.19951721976395,252.67331597861326,270.3793037687799
61,305.0,567.4760616622129,476.16121654127824,232.59030692011493,283.2219879315852
62,310.0,565.7428465950522,468.2957110806387,220.3625740191119,288.29434542038
63,315.0,563.6933887000089,459.4670404570348,203.49561278959433,297.64119496214005
64,320.0,561.2224974114811,456.28575700084775,199.0314102176937,299.13296137576054
65,325.0,558.242116756197,452.676370449788,194.50827968199928,300.19545438114966
66,330.0,554.6847438249904,448.5371122238893,189.85631756010395,300.79162170207604
67,335.0,550.5055036641344,451.7502643056763,196.81816404677122,296.43267471965703
68,340.0,545.6829984626908,454.998071700487,208.73836067817652,286.34850118873317
69,345.0,540.2191030871012,457.3408555529849,220.7163420907334,275.1447830956413
70,350.0,534.1379067841918,459.6497832156621,234.79638629617145,261.4574382784775
71,355.0,527.4840079274186,461.0346887635957,249.10559245626783,246.42918175270685
