,Ls,TOA,Eff,Direct,Diffuse
0,0.0,475.8261317058472,429.67608940600053,286.63483731951527,166.32703730986657
1,5.0,460.3525192392882,416.76242911521683,284.06013522435666,154.30499289634906
2,10.0,444.89081776310826,403.8030631234229,281.284138290933,142.46386608429054
3,15.0,429.57411250363253,390.9565616552098,278.43237224031094,130.84208071499864
4,20.0,414.5360528610747,376.47959267333465,269.51400004110764,124.37859608398492
5,25.0,399.9094413756391,362.3999536512858,260.7693656247056,118.1751023564886
6,30.0,385.8251205613317,342.7556467052221,213.4128041051931,150.39865418608022
7,35.0,372.4111194735815,327.3917997335311,194.7026782319462,154.2896761646336
8,40.0,359.7919964920314,312.9174656604323,178.1013669383036,156.76290549084734
9,45.0,348.0882946433133,299.4870264590704,163.50545745489688,158.11810349322502
10,50.0,337.4160127510514,290.8761961678987,158.93770679498257,153.416848108042
11,55.0,327.8859920191642,283.5667089475734,155.83960036032434,148.51989370610355
12,60.0,319.60312557907884,277.70312567005317,154.3296123418489,143.4575736374468
13,65.0,312.6653196710886,268.9403645193531,144.51903301445876,144.67596686615624
14,70.0,307.16216952691224,261.8514877747166,136.67192056489483,145.5576362904904
15,75.0,303.173358167172,256.51943172821234,130.7167576343793,146.28217917887565
16,80.0,300.76683655790674,253.5305002730313,127.65969373723992,146.36140294859462
17,85.0,299.9968903601096,252.42130031366426,126.38503858861208,146.55379270354905
18,90.0,300.90223205676403,253.23751116428326,126.90708747650422,146.8958414974175
19,95.0,303.5042692108364,254.83108703985192,126.85561091196044,148.80869317196684
20,100.0,307.80568614097433,258.37147397845274,128.61063476281453,150.88469676236997
21,105.0,313.78944002267497,263.84267142366406,132.1746349144439,153.10236803397692
22,110.0,321.41822221580816,272.68201320965096,140.6343924439982,153.54374507634043
23,115.0,330.6343839833765,283.42585140086214,151.24618018626037,153.69729211000205
24,120.0,341.36028475058686,296.0082061866692,164.1500696362838,153.32341459347143
25,125.0,353.498998534686,308.7786031828605,175.87275739348846,154.54168115043254
26,130.0,366.93531199084515,323.1026661401247,189.72935503448184,155.08524547167775
27,135.0,381.5369619329643,338.8313634810169,205.793414984511,154.6952889494255
28,140.0,397.15608406373224,349.12942670402776,207.26926270953498,164.95367906336372
29,145.0,413.6308701128181,360.41042848629706,210.24098982290496,174.61562635278153
30,150.0,430.7874511360372,377.8801517452228,245.86464118305264,153.50640763043043
31,155.0,448.4420363042767,391.2490240894688,246.76241035983574,168.00769038329426
32,160.0,466.40333754970226,404.9245486628567,247.81925339324061,182.6805758949024
33,165.0,484.47530135213526,418.68365503588933,248.86457610006434,197.46404527421512
34,170.0,502.4601513856935,435.75196029404356,258.55966768436593,206.03754954613674
35,175.0,520.161721915531,452.5137732931316,267.9347206286754,214.62680542378627
36,180.0,537.389034047771,468.75402815385524,276.84938551478706,223.14493330124208
37,185.0,553.9600373527603,485.302614106218,286.8423798633646,230.76771423587604
38,190.0,569.7054099309934,501.0077685395264,296.1778791317009,238.17429000909948
39,195.0,584.4722824045032,515.7060130916541,304.74648761625355,245.30177380860522
40,200.0,598.127727238425,528.1694586657085,309.473086138995,254.29810758920178
41,205.0,610.5618359376772,539.361446881875,313.22560223288525,262.94865656859287
42,210.0,621.6901949752455,550.0884266842071,324.1375699921328,262.73355429310965
43,215.0,631.4555691594637,543.5003553138272,286.7517621821589,298.5448757344981
44,220.0,639.8286114361309,535.3955897762828,253.3969166479707,327.9054338701304
45,225.0,646.8074442404499,525.8762376580341,223.5959126190292,351.4887500453545
46,230.0,652.4160030320511,535.0405628501178,232.64773893210497,351.6195626953637
47,235.0,656.7011005468163,542.9664315206738,241.33011027474285,350.7399084255012
48,240.0,659.7282616648934,549.7195527312058,249.66874522843034,348.8962877939249
49,245.0,661.5764909960002,554.6960760406605,256.24410213742755,347.0371789572476
50,250.0,662.3322600412158,558.6705288316778,262.4697703420222,344.4194866158785
51,255.0,662.0831229081111,561.7332666702816,268.38979879894754,341.0970556643419
52,260.0,660.911467441044,567.4594513098696,282.2028045681386,331.6937752810826
53,265.0,658.888957612792,572.369318934382,296.3773252702664,320.92092286525076
54,270.0,656.0722016370404,576.5729711523329,310.9343322495667,308.88213825903046
55,275.0,652.5000780675514,579.3585467285301,326.292123603416,294.2632827036211
56,280.0,648.192976184959,580.6756062246479,333.6211352306996,287.2726406906375
57,285.0,643.1539833547213,582.0373448389086,349.3708358533322,270.54245230880974
58,290.0,637.371820807367,578.3710902746868,351.7985659123141,263.45642367717755
59,295.0,630.8251335895818,573.9523427843075,353.74512323403917,256.0549064538003
60,300.0,623.4876141618805,568.7321072727757,355.14856185324976,248.35295979014649
61,305.0,615.3333980757905,544.2056895544154,300.6901180705805,283.15764126027307
62,310.0,606.3422099319994,519.8117557245873,260.6545105982337,301.345633867853
63,315.0,596.5038382738321,494.1155965624057,219.90998068649253,318.84373939059674
64,320.0,585.8216516133091,488.5087384333816,223.9702349863826,307.60291098488256
65,325.0,574.3150075993635,481.9218340311437,227.5372467325577,295.7960317425419
66,330.0,562.0205329522386,474.3732512365343,230.57811938522434,283.48271145501155
67,335.0,548.9923511942051,469.15038651318446,236.5052702677475,270.51757702957786
68,340.0,535.3014041637505,463.83675102988934,248.4684187253719,250.42829337734585
69,345.0,521.0340531713956,457.6831211102422,260.72902062015794,229.01639591870264
70,350.0,506.29016095662877,448.601521424707,267.07127918593375,211.08167702182942
71,355.0,491.18085199812776,438.9893719293114,273.287990801819,192.67602456685165
