,Ls,TOA,Eff,Direct,Diffuse
0,0.0,520.5549190588227,474.16512879245494,306.1205279351555,195.4006986712784
1,5.0,511.4459956153683,468.34625947118457,309.6567771995146,184.5226538042674
2,10.0,502.05531222520057,462.04212297071825,312.8072656502326,173.52890386102985
3,15.0,492.49294335029333,455.3838863713433,315.66020097692245,162.4694016214196
4,20.0,482.87615491481426,449.4142978239941,321.6676776040046,148.54258165115056
5,25.0,473.3272652720189,443.36130225556207,327.7491710512375,134.432710702703
6,30.0,463.9717206396407,434.3192825508653,290.62074207073994,167.09132613968063
7,35.0,454.9363753746984,424.47364412164694,274.16966323848663,174.77207079437244
8,40.0,446.34793925909224,415.0220403231018,259.46613562893754,180.8789589467026
9,45.0,438.33153062287266,406.11914031860897,246.44671325818726,185.66561286095552
10,50.0,431.0092579120749,397.77250455253636,234.65939679842734,189.66640436524307
11,55.0,424.4987458592883,390.27484334728877,224.5060210995642,192.75444447409828
12,60.0,418.91152837978285,383.7673672679333,215.96110095572558,195.12356547931128
13,65.0,414.35125060626,378.9658817780112,210.5007234117287,195.88971903056103
14,70.0,410.91165724968613,375.408942985869,206.58584544183614,196.30592737678236
15,75.0,408.6743910575451,373.2023164746463,204.24796658776205,196.4585463800979
16,80.0,407.70667735977514,372.16805049991854,202.8647284240258,196.86432799522416
17,85.0,408.0590192043479,372.6380580419454,203.1376264219933,197.09352513947917
18,90.0,409.7630616196573,374.65772578611825,205.1080979130302,197.15073008498607
19,95.0,412.82979390167077,376.193463719316,203.72965254777407,200.53931531574645
20,100.0,417.248241212994,379.2628706508484,204.03717394404035,203.7508101241954
21,105.0,422.9847539929397,383.82709926665166,205.9891728323092,206.78828655156096
22,110.0,429.9829453749633,392.6276969495376,216.48377173831,204.81851768747396
23,115.0,438.1642666383969,402.8220625150923,229.0209313043128,202.09433861718543
24,120.0,447.4291618829742,414.2939423097104,243.70984103679277,198.35360613129959
25,125.0,457.6587142878557,424.8609623540204,254.8922060250611,197.6380887546038
26,130.0,468.71668962431914,436.3634734820263,267.8594702357545,195.93488749566484
27,135.0,480.45189420876017,448.62102706380153,282.6305199882107,193.0122175297568
28,140.0,492.70078660569663,457.77021639014225,287.9697815857504,197.44236605161842
29,145.0,505.290306740041,467.236228920624,294.4636106497108,200.89839333827115
30,150.0,518.0409057936918,479.96609568247663,338.2928945929191,164.73628033669485
31,155.0,530.769771143114,490.7056304933917,341.3014872003692,173.72574801514241
32,160.0,543.2942411667957,501.13944166348426,343.95506893863933,182.77252642423832
33,165.0,555.4353956592672,511.07125224129516,346.11129540085835,191.81390330283352
34,170.0,567.021790768872,520.5176458605413,348.3148121689036,200.2358531298113
35,175.0,577.8932853147041,529.1077711251518,349.7778220139412,208.5231966409425
36,180.0,587.9048805473552,536.6764803723569,350.404819410634,216.59495460665448
37,185.0,596.9304701583379,542.1949088468727,346.1100030052036,228.00570446705711
38,190.0,604.86637353089,546.4638594742307,340.9319273239814,238.99061877935958
39,195.0,611.6345044772523,549.4076809450873,334.8648943585961,249.46835649592015
40,200.0,617.1850114697365,552.316035255561,331.7434520759358,256.4797478832852
41,205.0,621.4982151028743,553.8848751216265,327.6980569228162,263.0079281381515
42,210.0,624.5856659047914,555.0161100317456,331.09246011207983,260.37633711589046
43,215.0,626.4901527687856,544.9801066369309,300.8996648572051,283.81446718572766
44,220.0,627.2845119096206,533.699554722692,272.59712188894804,303.60748003923715
45,225.0,627.0691216479023,521.4056547145863,246.2172252518308,319.986545886925
46,230.0,625.9680230248903,512.0127473659288,228.96030456681228,329.13074744083315
47,235.0,624.1236832242357,502.0592407193103,212.48825302844384,336.71045080333306
48,240.0,621.6905190217581,491.7767086432959,196.91393367215642,342.86369182690635
49,245.0,618.8274180448088,493.3990775534028,203.19511322055772,337.44647015447094
50,250.0,615.6896274814778,494.98960947531225,209.88796663824604,331.51353818263516
51,255.0,612.4205065702464,496.698714511367,217.1025749503554,325.11179018722277
52,260.0,609.1437373718214,498.31521938463374,224.25142854877686,318.678826553322
53,265.0,605.9566313603138,500.2681762832244,232.0530419399457,311.87806318985895
54,270.0,602.9251342336781,502.6949909365046,240.56794364158364,304.79889220339646
55,275.0,600.0810071254996,503.43924339123316,246.84992569858352,298.35967173563915
56,280.0,597.421457340187,503.57991131051216,246.90602335023527,298.45800925613594
57,285.0,594.9112349499295,505.1327537877304,254.09471930249308,291.90469126190385
58,290.0,592.4869474056102,508.83520387455553,266.3292907053487,281.983619964194
59,295.0,590.0631203949071,512.6556900418738,279.26190729567236,271.38811947232716
60,300.0,587.5393870102621,516.4344722973553,292.7940415678718,260.04701247614366
61,305.0,584.8081364538061,510.95826264810904,281.9363075656112,266.3045989331371
62,310.0,581.761993365804,506.2468660602168,278.73658875758923,264.5468340728227
63,315.0,578.3006074786647,500.3603604443009,268.37597576808326,269.7492845072298
64,320.0,574.3363804465079,494.19719312498717,258.5239198116517,274.0386898992273
65,325.0,569.7989128946449,487.5496016619463,248.81392018185153,277.5996296280172
66,330.0,564.6380973406169,480.3369222246979,239.17516020692213,280.4206535090416
67,335.0,558.8258981964223,478.8852540576903,240.03188531945577,277.7364752770169
68,340.0,552.3569435477366,477.4058836911004,246.47844902050898,268.52027287278077
69,345.0,545.2481058917115,475.05934600367584,252.47713543067,258.81652392209986
70,350.0,537.5372750090264,475.4217179702533,267.445160535407,241.83320631958878
71,355.0,529.281531420841,474.86871909604076,282.69385350209757,223.45914603946886
