,Ls,TOA,Eff,Direct,Diffuse
0,0.0,493.2147565771681,442.17716201624665,279.71340752405,188.9113424327868
1,5.0,491.3138996873679,445.6811418944775,292.53465925699885,178.07730539241703
2,10.0,488.89236887688986,448.335781014523,305.09347832940176,166.56081707572235
3,15.0,486.0238860405833,450.21868632130486,317.42297040839077,154.41362315455126
4,20.0,482.7946449817135,446.86782522533724,312.5753368305605,156.15405627299617
5,25.0,479.3007723263356,443.1533834017463,307.4670506543191,157.77480552026418
6,30.0,475.64589576574946,436.1547579970995,263.7969367305271,200.4160712402005
7,35.0,471.93883812160027,432.2472990951614,252.49189579282285,209.01791081667272
8,40.0,468.2914286408702,428.34289490250274,242.37120948451138,216.24614583487363
9,45.0,464.8163996965724,424.55377739948017,233.38046662412398,222.2945474132049
10,50.0,461.6253200177525,421.25157819770203,226.13585641473412,226.87874625926503
11,55.0,458.82650737823843,418.30054569742833,219.92661955214817,230.66735598288392
12,60.0,456.5228669970823,415.81775868328856,214.75257325925216,233.79672723725164
13,65.0,454.8096186869293,416.29303586028027,216.39630882604874,232.43805469096694
14,70.0,453.77190627666687,417.46035366241244,219.107388420182,230.6429828398029
15,75.0,453.4823245563957,419.4156770019467,222.99240162117638,228.39915741950034
16,80.0,453.99844611668544,420.15449828692226,222.82630025003382,229.45139306614934
17,85.0,455.36047411433776,421.7994289884988,223.8738324146247,230.14604252776053
18,90.0,457.58917694733185,424.3817003740256,226.1698582444167,230.47888619721968
19,95.0,460.6842682858312,427.325936187867,228.26208302945082,231.46959669583276
20,100.0,464.6233767431268,431.1853486353392,231.61843996079534,232.0545449703999
21,105.0,469.36170626268586,435.9125388364611,236.24742432714834,232.1687378015265
22,110.0,474.8324301510235,441.7026308494913,242.862657064092,231.20927184348756
23,115.0,480.947801510115,448.1946474771471,250.80593103163105,229.52176330873957
24,120.0,487.60091313537293,455.2697495985993,260.0949763956685,226.94741070108233
25,125.0,494.6680090252082,461.8722181146412,268.1397088424998,225.27035961876908
26,130.0,502.01123960457323,468.7522441552561,277.37231053267976,222.53480653787943
27,135.0,509.48176001888817,475.74893676997567,287.78399977573724,218.5638802258586
28,140.0,516.923088375975,479.8531398269416,290.80425198108367,219.82428819285803
29,145.0,524.1746608645984,483.67766716804465,294.52012647948743,219.95062870762467
30,150.0,531.0755369742003,489.94703924529904,333.82783751281806,181.53395550288485
31,155.0,537.468216816468,495.41695090282167,337.60114074252203,183.50675600034845
32,160.0,543.2025326059139,500.11149198931207,340.74025075082693,185.31539678893625
33,165.0,548.1395684705197,503.8892058338637,343.1380640550467,186.91993230095
34,170.0,552.1555488879367,505.484308569543,340.95026714926416,191.3186528142777
35,175.0,555.1456185896877,505.88130145592464,337.80797398923346,195.43410170545485
36,180.0,557.0274181136442,504.99411946536685,333.6739909327162,199.20945178215192
37,185.0,557.7443413660117,500.6975826536284,321.2991236590417,208.60285929603106
38,190.0,557.2683462281758,494.994664138121,308.17703499526846,217.2298013288983
39,195.0,555.602177703558,487.9198500367222,294.39736384944257,225.02614672939495
40,200.0,552.7808564105565,476.66569640179034,272.66840865717256,237.2061485402532
41,205.0,548.8722844155162,464.2134171510555,251.29256496883644,247.58238625839428
42,210.0,543.9768266693492,451.9805409697218,237.27023944997143,249.66314130203529
43,215.0,538.2257412680996,424.90900048749876,190.51028680893438,272.55664381228416
44,220.0,531.7783575706607,398.1530363634029,151.72003920698484,286.5499966935094
45,225.0,524.8179406199881,372.21531183566725,119.89843363384789,293.3917188393248
46,230.0,517.5462363590696,362.75759218546045,113.52219778380636,289.8085981414582
47,235.0,510.1767673802486,353.51975322733267,107.47375694648592,286.0999956754032
48,240.0,502.92704417598793,344.7296976659308,101.85801437006565,282.4089340649595
49,245.0,496.009969204125,339.70521975313255,100.81066311517806,277.78436818366805
50,250.0,489.62483203178266,335.4684875557622,100.25411677241043,273.50508230622296
51,255.0,483.9484079143124,332.19152481267906,100.28020526132653,269.66432505971227
52,260.0,479.12675750770336,332.8246058084826,104.90567929438104,265.0220075745367
53,265.0,475.2683571052024,334.7058230005611,110.58834187800926,260.6017222355254
54,270.0,472.439145392749,337.98504980037933,117.46029069925238,256.4241384896825
55,275.0,470.6599443368186,343.6191354219419,128.32128556293313,250.3463370453591
56,280.0,469.9065067235668,349.497117621661,136.28128525541288,247.92538647238158
57,285.0,470.1121891177757,357.9782218565224,150.58766556809735,241.15180963770354
58,290.0,471.1729890450732,364.62627145154676,160.87584138802868,236.91910472502104
59,295.0,472.9544645909258,372.2883242099506,172.3764982785859,232.45561154809852
60,300.0,475.29990920723935,380.7734625999183,185.0258627753012,227.61348816815936
61,305.0,478.03910124409873,375.6596212065116,169.05442302408983,240.23860253769976
62,310.0,480.9969823510454,372.52626147097146,160.36198535900968,246.702646641816
63,315.0,484.00172070130515,368.75099422813366,148.0590731410161,256.61851289199717
64,320.0,486.89175531712596,372.4746611222313,149.43914752449902,259.3436204624794
65,325.0,489.52156855314826,376.0620189647905,150.80362380209667,261.92836646824867
66,330.0,491.7660733744545,379.35323424585766,152.0512553498222,264.30462662329705
67,335.0,493.5236174135295,391.01611062604013,166.17053283095444,261.44834627335547
68,340.0,494.7176918174509,403.10534514742153,185.94334808031866,252.51395007802662
69,345.0,495.29749025701335,414.45612006675344,206.94248247584642,241.2949274312872
70,350.0,495.23749606322366,424.35474961411956,227.6994424040675,228.6689618721536
71,355.0,494.5362883908526,433.29249580281277,249.3520846574794,213.88419900620158
