,Ls,TOA,Eff,Direct,Diffuse
0,0.0,505.6040337657321,453.69855009318485,282.5122011364026,199.0538941357933
1,5.0,492.81463992361165,445.45156844806934,287.69156935910775,183.44185940576932
2,10.0,479.9001978497463,436.9096537025854,292.78795089159433,167.58337536161753
3,15.0,466.98552858157404,428.23543340880207,297.929209765697,151.51886470128494
4,20.0,454.1991236486851,418.3745835032917,298.97291338010615,138.83915130602975
5,25.0,441.67136762626143,408.7215214938567,300.13875557001825,126.25903014399819
6,30.0,429.5330251595403,394.923852519963,259.4566186028369,157.52003943851872
7,35.0,417.91396692876725,381.90326508678396,241.37014053355043,163.4106099456204
8,40.0,406.94208185059625,369.5326050507996,225.2387100707489,167.78359881401238
9,45.0,396.7423007898104,357.973972160745,210.98541247897876,170.91692986251886
10,50.0,387.4356422876736,346.9905885241619,197.55893946610666,173.7577314628549
11,55.0,379.1381857705115,337.12496685643555,185.9811485309418,175.74862595987648
12,60.0,371.95988485910516,328.5145862913806,176.1956283612709,177.11506736059266
13,65.0,366.00315453702535,321.16577930313997,167.88771707505003,178.23030491638366
14,70.0,361.3612011514255,315.3105919710417,161.30832803369177,179.07239992715105
15,75.0,358.11611088074903,311.04604458590507,156.4288724017625,179.7874095164448
16,80.0,356.3367644009225,307.7711529121924,151.78425913433665,181.3801090440183
17,85.0,356.0766939493783,306.2291180051067,148.8474366526043,183.00195506104933
18,90.0,357.3720333895568,306.4594896706373,147.58896517639076,184.73316801656577
19,95.0,360.2397233197677,308.51121024885185,148.05249913132914,186.5798966482822
20,100.0,364.6761176163236,312.352664208385,150.17176173103502,188.58244474110467
21,105.0,370.65609780396693,317.9596051428855,153.95284607828694,190.70553379604485
22,110.0,378.1327467205685,327.1359222177193,163.33606043081414,190.46495556616878
23,115.0,387.0375763567996,338.02279749767956,174.7789167990054,189.8184659286909
24,120.0,397.28125931572936,350.53069080686123,188.4140631839286,188.5077065382938
25,125.0,408.754787451549,361.2700077790065,196.5584418651601,191.52507664400747
26,130.0,421.33097691510824,373.2702907097291,206.35476628863708,194.0878190942931
27,135.0,434.8662521638358,386.3652900536946,217.78858809228,196.01942088536578
28,140.0,449.2026649962044,398.3251496327299,225.69481055109176,200.73295242050946
29,145.0,464.1701300900823,410.9636458164694,234.87710325883057,204.75179367167306
30,150.0,479.58887907044874,428.3691825151821,277.23274142528527,175.74004777894982
31,155.0,495.27214659973885,441.48616474951285,280.85639996835783,186.778796257157
32,160.0,511.0291028242391,454.6176375426765,284.3534299113951,197.98163678055977
33,165.0,526.6680372522012,467.5527452239047,287.57452623331375,209.2769988262686
34,170.0,541.9997815958586,483.03397267591254,298.692052708292,214.35106972979128
35,175.0,556.8413356604275,497.9776624968313,309.4359568945543,219.23454139799645
36,180.0,571.0196334571857,512.1893666497441,319.67125240544465,223.85827237709236
37,185.0,584.3753586018577,521.6996298920362,317.0439494819499,237.9717214070771
38,190.0,596.7666906928964,530.1315661785267,313.6642973545205,251.70612653954208
39,195.0,608.0728394572544,537.3572026500943,309.49130606569474,264.96034486558096
40,200.0,618.1972025860574,546.4283480944941,312.8944282356949,271.55106960325503
41,205.0,627.0699679831763,554.1779025445145,315.35000004302486,277.7068633738251
42,210.0,634.6499734795661,561.414980482602,324.87584444051106,275.04550702568713
43,215.0,640.9256392221565,548.3120120899089,279.3645424478887,312.7296158628142
44,220.0,645.9148027919935,533.7339300344577,239.78318838386537,341.8031879658051
45,225.0,649.6633180479223,517.9640190492055,205.38893235207698,363.459403136196
46,230.0,652.2423293487833,524.2785499332912,212.94774630631542,362.01256235694854
47,235.0,653.7442062138215,529.6541175948998,220.35663557386584,359.64823490817906
48,240.0,654.277220700164,534.2077277231544,227.6789154804155,356.4288514450453
49,245.0,653.9591679773042,534.2853278955021,227.6534340829307,356.5487137355481
50,250.0,652.9102609828642,533.8060302812722,227.4170459632681,356.26626083488856
51,255.0,651.2457565775434,532.9037190158151,227.0508320904018,355.6428917737364
52,260.0,649.0688704633691,538.2388954501143,239.64490378812422,347.20231588603497
53,265.0,646.4645852493779,543.2980581332914,252.99400276885746,337.5628550749232
54,270.0,643.4949278396305,548.2050424993977,267.1594951383076,326.7971480942908
55,275.0,640.1961779286869,551.4185643302424,280.73087995451186,314.7531213671285
56,280.0,636.5782765483495,553.5750961830853,287.60585812439535,309.2665558821976
57,285.0,632.6264603241331,556.3919420671674,302.2173642054147,295.55183472296824
58,290.0,628.3048961567498,553.6922889377242,303.1551571727952,291.32224623828955
59,295.0,623.5618785068183,550.6681902493565,303.94148835167687,286.8915138345112
60,300.0,618.3360135358581,547.2281743699044,304.49912320383777,282.24308275124025
61,305.0,612.5627679730583,528.5646986855364,266.85592678133247,304.3125254700046
62,310.0,606.1808011308204,510.4710846880633,239.79711401279155,314.7371752038043
63,315.0,599.1376046334382,491.23669537036665,210.0361741623404,326.977350241891
64,320.0,591.3941168147686,485.89087487452025,209.5817124232058,321.28972378059814
65,325.0,582.928128815891,479.75958067737275,208.6581997429334,315.23416387725507
66,330.0,573.7364353113408,472.81270014899775,207.22848929607022,308.8188498289855
67,335.0,563.8357915994908,471.2137609590104,214.14356253007455,298.9188353824836
68,340.0,553.2628158241312,469.48545495160715,226.39556936313596,282.662657661013
69,345.0,542.0730216023868,466.81684045505574,238.88480378137277,265.037251946143
70,350.0,530.3391869160204,462.92926675572863,250.761282776693,246.7069581151577
71,355.0,518.1492655976361,458.2782122297932,262.8783165817172,227.20918098613498
