,Ls,TOA,Eff,Direct,Diffuse
0,0.0,518.0032393691641,470.0593454240071,300.04413919909626,197.69210026152427
1,5.0,511.5721694925996,467.5777952110541,306.7038697161909,187.0627040637944
2,10.0,504.7614473587126,464.4629328516085,312.9681248833294,176.15675345148736
3,15.0,497.6686458059984,460.82956699860364,318.9068998677937,165.02635712884876
4,20.0,490.40070782461845,456.723292684732,324.29615959778516,153.98503847319398
5,25.0,483.0716175159819,452.3694706684868,329.5433170581717,142.82110884920365
6,30.0,475.8002469547203,445.24958655678716,292.2559793300435,177.89954328691124
7,35.0,468.7083801776192,438.12889050886224,279.0400322787479,184.9870444536213
8,40.0,461.9188873184216,431.2489589824237,267.26088625350457,190.68380549874314
9,45.0,455.55399824184065,424.75131906991135,256.8842276109614,195.19429239412784
10,50.0,449.7336082306945,418.18236517091367,246.17394616768686,200.00978953863583
11,55.0,444.5735410474501,412.2757922743823,236.9420329366265,203.8764643462277
12,60.0,440.18369971604255,407.16719324063115,229.16928706235657,206.97430950962158
13,65.0,436.66605460536715,403.98660213310893,225.4911587330138,207.55284116290133
14,70.0,434.1124520380511,401.85459002249394,223.20611886460867,207.73078041614568
15,75.0,432.60227205849026,400.87453819504685,222.36619212839378,207.56784426355006
16,80.0,432.2000150366165,400.46429365989025,221.28467696637765,208.34839150408445
17,85.0,432.9529441564369,401.3493308626996,221.7421257482874,208.84558734233983
18,90.0,434.8889438079031,403.5701954399125,223.77621766438844,209.0627648552605
19,95.0,438.01476329019926,405.48302666819745,223.1096907454964,212.0620185147687
20,100.0,442.3147967408044,408.7091426205724,224.00258391440977,214.77506826297983
21,105.0,447.75050658283476,413.2053593291076,226.42393426762231,217.18770355986658
22,110.0,454.26053862922186,420.9021921217336,235.55308372545156,215.5222190654442
23,115.0,461.7615158687113,429.7365189430317,246.46443516610495,213.10707415921715
24,120.0,470.14944802364346,439.58689284241996,259.22366155082767,209.72468754836314
25,125.0,479.30166387256816,449.159417771534,270.5364205771115,207.7011595283982
26,130.0,489.0791652222327,459.4224950851378,283.51919600996365,204.5387198548537
27,135.0,499.32931144298067,470.1976273199492,298.19588356920815,200.0020276171408
28,140.0,509.88876415021605,477.3364140903177,301.9581935378643,203.9281634330854
29,145.0,520.5866446632542,484.54848255978567,306.71192575568426,206.78669395825744
30,150.0,531.2478755590486,494.3954586390022,348.8941408425988,169.1875788330272
31,155.0,541.6966878663545,502.84962803360634,350.634421178894,176.9944265752469
32,160.0,551.7602758252533,510.78316476921975,351.8724094229668,184.77994807703828
33,165.0,561.2725723744151,518.0150469117691,352.4800387307438,192.482567652355
34,170.0,570.0781025976739,523.7006546930306,350.08935873678,201.87359994912856
35,175.0,578.0358517578073,528.3378755897529,346.8843407984338,210.9924823154874
36,180.0,585.023061764707,531.7872554014614,342.8010617418227,219.751387976324
37,185.0,590.9388471814933,533.4425000462388,335.0841864762047,230.6492018256211
38,190.0,595.7075010079043,533.7550438833301,326.5329847731154,240.9558826862962
39,195.0,599.281343010655,532.6903911407095,317.178887646638,250.5947715047343
40,200.0,601.6429506149082,531.6736583743852,310.9433311042254,256.6631712443718
41,205.0,602.8066056408952,529.3590092220761,303.89529060146685,262.167114675127
42,210.0,602.8187909877159,526.8132601104644,304.02579822736607,259.0551882361608
43,215.0,601.757581684569,513.0268414006026,272.5238617379859,279.6546275146706
44,220.0,599.7307970883729,498.2625424269386,243.33089466973672,296.4321485548859
45,225.0,596.8728185302383,482.81427167773825,216.47643930269308,309.69515392447113
46,230.0,593.3400327948559,471.21097176125136,199.67337946189033,315.7413863946058
47,235.0,589.3049393199149,459.3887503713888,183.8204583322233,320.42824655716925
48,240.0,584.9490588536192,447.6014798917218,169.0256977890872,323.92532802631933
49,245.0,580.4549005408894,447.2256714773278,173.46563218058787,318.32562708923246
50,250.0,575.9973740630005,447.16565409036593,178.43861483538487,312.47330145928026
51,255.0,571.7351571988919,447.58972105165697,184.07037039204747,306.41784960419716
52,260.0,567.8026238639156,448.454309293651,190.1315077051323,300.3753506843241
53,265.0,564.3029769523811,450.04443792325276,197.04182211236574,294.18908815219424
54,270.0,561.3031913915133,452.49747718340564,204.88053879721312,287.92667254208436
55,275.0,558.8312450237847,453.32938871351075,210.12301023700186,282.79811450756847
56,280.0,556.8759066520681,453.8161198671712,209.92585704755342,283.59332886002073
57,285.0,555.389090966814,456.19230246913094,216.48412114046886,278.73044340542106
58,290.0,554.2905234058076,461.2937040940874,228.38052559924517,270.829277319584
59,295.0,553.4742318687496,466.8708308446495,241.21793407623585,262.3870892655973
60,300.0,552.8162340514274,472.7419213459675,254.9046943795451,253.299101123747
61,305.0,552.1827365792878,471.02312308579985,249.9191221840298,257.0976754671745
62,310.0,551.4382005560395,470.4074167417748,252.09202705757463,253.85510428395372
63,315.0,550.452735794815,468.6511699617288,247.37934525502936,257.29281942639466
64,320.0,549.1084327802807,464.7616742211261,238.22634763594408,263.41317044788605
65,325.0,547.3043979296554,460.5655338072015,229.4000616547128,268.79706064242873
66,330.0,544.9604013748851,455.94498916229236,220.79401646930995,273.4313635964912
67,335.0,542.0191637722559,457.918093597939,224.05441117267966,271.93451444797597
68,340.0,538.4473944325326,459.97835739493866,232.7803854044241,264.18368836106345
69,345.0,534.2357482792294,461.1802407208877,241.1724371105423,255.82302745388998
70,350.0,529.3978981257962,464.86109333528907,257.85118798459695,240.70919226824668
71,355.0,523.9689271169608,467.5714255476979,274.8936097243047,224.0439718876665
